Index,Cement (kg/m3),SF (kg/m3),BFS (kg/m3),FA (kg/m3),QP (kg/m3),LSP (kg/m3),NS (kg/m3),Fiber (kg/m3),Sand (kg/m3),Gravel (kg/m3),Water (kg/m3),SP (kg/m3),T (oC),RH (%),Age (days),Unnamed: 16,fc (MPa)
149,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,129.58
150,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,105.7
151,801.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,102.6
152,756.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,96.8
153,712.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,95.9
154,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,106.1
155,712.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,99.2
156,623.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,101.2
157,534.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,75.8
158,667.5,44.5,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,92.8
159,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,7,,102.8
160,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,7,,102.3
161,958.55,50.45,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,7,,102.8
162,756.75,50.45,0.0,201.8,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,7,,101.5
163,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,106.3
164,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,113.2
165,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,117.2
166,801.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,118.6
167,756.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,118.0
168,712.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,111.0
169,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,116.6
170,712.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,109.9
171,623.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,114.8
172,534.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,102.6
173,667.5,44.5,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,28,,112.8
174,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,28,,113.8
175,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,28,,115.2
176,958.55,50.45,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,28,,115.4
177,756.75,50.45,0.0,201.8,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,28,,114.5
178,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,108.8
179,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,113.8
180,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,120.1
181,801.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,127.4
182,756.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,120.1
183,712.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,117.2
184,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,124.1
185,712.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,110.3
186,623.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,117.2
187,534.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,110.9
188,667.5,44.5,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,56,,113.8
189,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,56,,126.2
